"bdgt_id","chan3_name","dma1_name","chan1_name","chan2_name","client_id","chan3_id","chan2_id","chan1_id","dma1_id","week_id","percent_max","sp_max_h","sp_min_h"
"205_173_235_1_0",NULL,NULL,NULL,NULL,27,205,173,235,1,0,NULL,NULL,NULL
"205_173_235_1_1",NULL,NULL,NULL,NULL,27,205,173,235,1,1,NULL,NULL,NULL
"205_173_235_1_10",NULL,NULL,NULL,NULL,27,205,173,235,1,10,NULL,NULL,NULL
"205_173_235_1_11",NULL,NULL,NULL,NULL,27,205,173,235,1,11,NULL,NULL,NULL
"205_173_235_1_12",NULL,NULL,NULL,NULL,27,205,173,235,1,12,NULL,NULL,NULL
"205_173_235_1_13",NULL,NULL,NULL,NULL,27,205,173,235,1,13,NULL,NULL,NULL
"205_173_235_1_14",NULL,NULL,NULL,NULL,27,205,173,235,1,14,NULL,NULL,NULL
"205_173_235_1_15",NULL,NULL,NULL,NULL,27,205,173,235,1,15,NULL,NULL,NULL
"205_173_235_1_16",NULL,NULL,NULL,NULL,27,205,173,235,1,16,NULL,NULL,NULL
"205_173_235_1_17",NULL,NULL,NULL,NULL,27,205,173,235,1,17,NULL,NULL,NULL
"205_173_235_1_18",NULL,NULL,NULL,NULL,27,205,173,235,1,18,NULL,NULL,NULL
"205_173_235_1_19",NULL,NULL,NULL,NULL,27,205,173,235,1,19,NULL,NULL,NULL
"205_173_235_1_2",NULL,NULL,NULL,NULL,27,205,173,235,1,2,NULL,NULL,NULL
"205_173_235_1_20",NULL,NULL,NULL,NULL,27,205,173,235,1,20,NULL,NULL,NULL
"205_173_235_1_21",NULL,NULL,NULL,NULL,27,205,173,235,1,21,NULL,NULL,NULL
"205_173_235_1_22",NULL,NULL,NULL,NULL,27,205,173,235,1,22,NULL,NULL,NULL
"205_173_235_1_23",NULL,NULL,NULL,NULL,27,205,173,235,1,23,NULL,NULL,NULL
"205_173_235_1_24",NULL,NULL,NULL,NULL,27,205,173,235,1,24,NULL,NULL,NULL
"205_173_235_1_25",NULL,NULL,NULL,NULL,27,205,173,235,1,25,NULL,NULL,NULL
"205_173_235_1_26",NULL,NULL,NULL,NULL,27,205,173,235,1,26,NULL,NULL,NULL
"205_173_235_1_27",NULL,NULL,NULL,NULL,27,205,173,235,1,27,NULL,NULL,NULL
"205_173_235_1_28",NULL,NULL,NULL,NULL,27,205,173,235,1,28,NULL,NULL,NULL
"205_173_235_1_29",NULL,NULL,NULL,NULL,27,205,173,235,1,29,NULL,NULL,NULL
"205_173_235_1_3",NULL,NULL,NULL,NULL,27,205,173,235,1,3,NULL,NULL,NULL
"205_173_235_1_30",NULL,NULL,NULL,NULL,27,205,173,235,1,30,NULL,NULL,NULL
"205_173_235_1_31",NULL,NULL,NULL,NULL,27,205,173,235,1,31,NULL,NULL,NULL
"205_173_235_1_32",NULL,NULL,NULL,NULL,27,205,173,235,1,32,NULL,NULL,NULL
"205_173_235_1_33",NULL,NULL,NULL,NULL,27,205,173,235,1,33,NULL,NULL,NULL
"205_173_235_1_34",NULL,NULL,NULL,NULL,27,205,173,235,1,34,NULL,NULL,NULL
"205_173_235_1_35",NULL,NULL,NULL,NULL,27,205,173,235,1,35,NULL,NULL,NULL
"205_173_235_1_36",NULL,NULL,NULL,NULL,27,205,173,235,1,36,NULL,NULL,NULL
"205_173_235_1_37",NULL,NULL,NULL,NULL,27,205,173,235,1,37,NULL,NULL,NULL
"205_173_235_1_38",NULL,NULL,NULL,NULL,27,205,173,235,1,38,NULL,NULL,NULL
"205_173_235_1_39",NULL,NULL,NULL,NULL,27,205,173,235,1,39,NULL,NULL,NULL
"205_173_235_1_4",NULL,NULL,NULL,NULL,27,205,173,235,1,4,NULL,NULL,NULL
"205_173_235_1_40",NULL,NULL,NULL,NULL,27,205,173,235,1,40,NULL,NULL,NULL
"205_173_235_1_41",NULL,NULL,NULL,NULL,27,205,173,235,1,41,NULL,NULL,NULL
"205_173_235_1_42",NULL,NULL,NULL,NULL,27,205,173,235,1,42,NULL,NULL,NULL
"205_173_235_1_43",NULL,NULL,NULL,NULL,27,205,173,235,1,43,NULL,NULL,NULL
"205_173_235_1_44",NULL,NULL,NULL,NULL,27,205,173,235,1,44,NULL,NULL,NULL
"205_173_235_1_45",NULL,NULL,NULL,NULL,27,205,173,235,1,45,NULL,NULL,NULL
"205_173_235_1_46",NULL,NULL,NULL,NULL,27,205,173,235,1,46,NULL,NULL,NULL
"205_173_235_1_47",NULL,NULL,NULL,NULL,27,205,173,235,1,47,NULL,NULL,NULL
"205_173_235_1_48",NULL,NULL,NULL,NULL,27,205,173,235,1,48,NULL,NULL,NULL
"205_173_235_1_49",NULL,NULL,NULL,NULL,27,205,173,235,1,49,NULL,NULL,NULL
"205_173_235_1_5",NULL,NULL,NULL,NULL,27,205,173,235,1,5,NULL,NULL,NULL
"205_173_235_1_50",NULL,NULL,NULL,NULL,27,205,173,235,1,50,NULL,NULL,NULL
"205_173_235_1_51",NULL,NULL,NULL,NULL,27,205,173,235,1,51,NULL,NULL,NULL
